epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.353463,0.130562,0.099278,0.96,1.0,0.0001
2,0.140528,0.113419,0.083321,1.0,1.0,9.874639560909117e-05
3,0.088834,0.077545,0.045298,1.0,1.0,9.504844339512095e-05
4,0.05829,0.07561,0.040366,0.995,1.0,8.90915741234015e-05
5,0.057357,0.133152,0.101986,0.97,1.0,8.117449009293668e-05
6,0.05983,0.075496,0.041664,0.995,1.0,7.169418695587791e-05
7,0.060369,0.071574,0.037962,1.0,1.0,6.112604669781572e-05
8,0.057378,0.073764,0.041287,1.0,1.0,5e-05
9,0.056374,0.068428,0.034006,1.0,1.0,3.887395330218429e-05
10,0.06028,0.071175,0.037823,1.0,1.0,2.8305813044122097e-05
11,0.059029,0.082871,0.051295,1.0,1.0,1.8825509907063327e-05
12,0.056382,0.071934,0.038651,1.0,1.0,1.0908425876598516e-05
13,0.05629,0.069424,0.035434,1.0,1.0,4.951556604879048e-06
14,0.056507,0.0662,0.031179,1.0,1.0,1.2536043909088191e-06
15,0.056271,0.068432,0.034231,1.0,1.0,0.0
