epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.057075,0.068886,0.03476,1.0,1.0,2.25e-05
2,0.056337,0.063421,0.027275,1.0,1.0,7.500000000000004e-06
3,0.056266,0.061653,0.024559,1.0,1.0,0.0
