epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.345596,0.101444,0.070041,0.995,1.0,0.0001
2,0.127785,0.072797,0.036521,0.995,1.0,9.874639560909117e-05
3,0.08763,0.07725,0.041026,1.0,1.0,9.504844339512095e-05
4,0.072612,0.074396,0.037411,0.995,1.0,8.90915741234015e-05
5,0.068754,0.071806,0.033602,0.995,1.0,8.117449009293668e-05
6,0.060789,0.060507,0.022371,1.0,1.0,7.169418695587791e-05
7,0.056426,0.059882,0.021272,1.0,1.0,6.112604669781572e-05
8,0.057062,0.062709,0.026126,1.0,1.0,5e-05
9,0.058483,0.062058,0.02502,1.0,1.0,3.887395330218429e-05
10,0.056384,0.063226,0.026746,1.0,1.0,2.8305813044122097e-05
11,0.057916,0.060827,0.023085,1.0,1.0,1.8825509907063327e-05
12,0.056266,0.061239,0.023584,1.0,1.0,1.0908425876598516e-05
