epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.34321,0.130796,0.10626,0.99,1.0,0.0001
2,0.139507,0.069641,0.035614,1.0,1.0,9.874639560909117e-05
3,0.078184,0.077586,0.046212,1.0,1.0,9.504844339512095e-05
4,0.063865,0.093115,0.061895,0.985,1.0,8.90915741234015e-05
5,0.070171,0.065053,0.029326,1.0,1.0,8.117449009293668e-05
6,0.059581,0.064903,0.029342,1.0,1.0,7.169418695587791e-05
7,0.056394,0.064678,0.028822,1.0,1.0,6.112604669781572e-05
8,0.056378,0.063934,0.027824,1.0,1.0,5e-05
9,0.0563,0.063513,0.027123,1.0,1.0,3.887395330218429e-05
10,0.056303,0.062216,0.02498,1.0,1.0,2.8305813044122097e-05
11,0.056294,0.062362,0.02531,1.0,1.0,1.8825509907063327e-05
12,0.05627,0.061742,0.024134,1.0,1.0,1.0908425876598516e-05
13,0.056245,0.061738,0.024386,1.0,1.0,4.951556604879048e-06
14,0.059197,0.062234,0.025087,1.0,1.0,1.2536043909088191e-06
15,0.056245,0.062306,0.025273,1.0,1.0,0.0
