epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.361528,0.243986,0.219507,0.95,1.0,0.0001
2,0.146875,0.082264,0.051057,1.0,1.0,9.874639560909117e-05
3,0.097179,0.100553,0.065175,0.985,1.0,9.504844339512095e-05
4,0.061267,0.068092,0.033022,1.0,1.0,8.90915741234015e-05
5,0.057188,0.069941,0.036546,1.0,1.0,8.117449009293668e-05
6,0.057633,0.068639,0.034254,1.0,1.0,7.169418695587791e-05
7,0.056633,0.063948,0.027741,1.0,1.0,6.112604669781572e-05
8,0.060324,0.064153,0.027706,1.0,1.0,5e-05
9,0.056376,0.062473,0.025736,1.0,1.0,3.887395330218429e-05
10,0.056333,0.063518,0.027486,1.0,1.0,2.8305813044122097e-05
11,0.056313,0.062569,0.025898,1.0,1.0,1.8825509907063327e-05
12,0.061793,0.063097,0.02675,1.0,1.0,1.0908425876598516e-05
13,0.056452,0.063285,0.026993,1.0,1.0,4.951556604879048e-06
14,0.056313,0.063186,0.02695,1.0,1.0,1.2536043909088191e-06
