epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.367879,0.145267,0.122219,0.98,1.0,0.0001
2,0.140964,0.095903,0.063767,0.985,1.0,9.874639560909117e-05
3,0.076874,0.109799,0.077114,0.975,0.9999,9.504844339512095e-05
4,0.072578,0.075018,0.038244,0.995,1.0,8.90915741234015e-05
5,0.067486,0.069552,0.036233,1.0,1.0,8.117449009293668e-05
6,0.05737,0.084826,0.049551,0.99,1.0,7.169418695587791e-05
7,0.056896,0.067366,0.032201,1.0,1.0,6.112604669781572e-05
8,0.056454,0.065469,0.029261,1.0,1.0,5e-05
9,0.059614,0.063995,0.027196,1.0,1.0,3.887395330218429e-05
10,0.056476,0.067596,0.031292,1.0,1.0,2.8305813044122097e-05
11,0.056322,0.078959,0.042269,0.99,1.0,1.8825509907063327e-05
12,0.061103,0.063563,0.026689,1.0,1.0,1.0908425876598516e-05
13,0.056291,0.064208,0.027486,1.0,1.0,4.951556604879048e-06
14,0.056286,0.064313,0.02778,1.0,1.0,1.2536043909088191e-06
15,0.05632,0.064011,0.027178,1.0,1.0,0.0
