epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.383329,0.154602,0.132496,1.0,1.0,0.0001
2,0.134008,0.094465,0.06575,1.0,1.0,9.874639560909117e-05
3,0.080141,0.073622,0.040138,1.0,1.0,9.504844339512095e-05
4,0.064577,0.068173,0.033079,1.0,1.0,8.90915741234015e-05
5,0.057449,0.066854,0.031667,1.0,1.0,8.117449009293668e-05
6,0.061334,0.071001,0.036523,1.0,1.0,7.169418695587791e-05
7,0.056578,0.06631,0.030976,1.0,1.0,6.112604669781572e-05
8,0.056388,0.064249,0.028053,1.0,1.0,5e-05
9,0.056337,0.06411,0.027846,1.0,1.0,3.887395330218429e-05
10,0.056317,0.063858,0.027522,1.0,1.0,2.8305813044122097e-05
11,0.059746,0.066083,0.030819,1.0,1.0,1.8825509907063327e-05
12,0.056445,0.064,0.028066,1.0,1.0,1.0908425876598516e-05
13,0.056313,0.06437,0.028331,1.0,1.0,4.951556604879048e-06
14,0.05767,0.063559,0.027371,1.0,1.0,1.2536043909088191e-06
15,0.056295,0.065034,0.02946,1.0,1.0,0.0
