epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.056478,0.057939,0.017082,1.0,1.0,2.25e-05
2,0.056309,0.057637,0.016788,1.0,1.0,7.500000000000004e-06
3,0.056297,0.05777,0.016953,1.0,1.0,0.0
