epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.056374,0.064418,0.02854,1.0,1.0,2.25e-05
2,0.056234,0.061698,0.024375,1.0,1.0,7.500000000000004e-06
3,0.056205,0.060942,0.022823,1.0,1.0,0.0
