epoch,train_loss,valid_loss,valid_logloss,valid_accuracy,valid_auc,lr
1,0.367004,0.22629,0.203748,0.925,1.0,0.0001
2,0.146269,0.109658,0.082428,1.0,1.0,9.874639560909117e-05
3,0.080756,0.096668,0.068049,1.0,1.0,9.504844339512095e-05
4,0.061147,0.080602,0.049266,1.0,1.0,8.90915741234015e-05
5,0.05735,0.072319,0.039706,1.0,1.0,8.117449009293668e-05
6,0.056564,0.067404,0.033311,1.0,1.0,7.169418695587791e-05
7,0.058662,0.066542,0.03207,1.0,1.0,6.112604669781572e-05
8,0.057413,0.069453,0.035897,1.0,1.0,5e-05
9,0.056752,0.068235,0.03437,1.0,1.0,3.887395330218429e-05
10,0.056938,0.065596,0.030428,1.0,1.0,2.8305813044122097e-05
11,0.0564,0.064786,0.029167,1.0,1.0,1.8825509907063327e-05
12,0.056356,0.064391,0.028851,1.0,1.0,1.0908425876598516e-05
13,0.056318,0.065699,0.030623,1.0,1.0,4.951556604879048e-06
14,0.056293,0.064802,0.029419,1.0,1.0,1.2536043909088191e-06
15,0.056297,0.065359,0.030281,1.0,1.0,0.0
